,Unnamed: 0,rev_page,page_title,date,same_day_revs,prev_day_revs,week_before_revs,month_before_revs,year_before_revs,week_after_revs,day_after_revs,day_after_2_revs,category,category_score,day,around,before,boost,same_day_views,prev_day_views,week_before_views,month_before_views,year_before_views,day_after_views,is_event,link,title,is_first_event,category_score_upd,category_upd
0,0,13,Liste_von_Autoren/A,20220601,0.0,0.0,0.0,0.0,25.0,1.0,1.0,0.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,0.8439050912857056,Culture.Literature
1,1,37,Liste_von_Autoren/Z,20220601,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,0.59267657995224,Culture.Literature
2,2,53,Abkürzungen/Gesetze_und_Recht,20220601,1.0,0.0,4.0,4.0,105.0,4.0,1.0,0.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,-1.0,-1
3,3,97,Arsen,20220601,0.0,0.0,0.0,2.0,15.0,1.0,1.0,0.0,Culture.Linguistics,0.7122421860694885,20220601.0,148.0,160.0,0.925,30.0,65.0,265.0,1134.0,12981.0,63.0,0,-1,-1,,0.9931061863899231,STEM.STEM*
4,4,145,Angela_Merkel,20220601,0.0,0.0,2.0,10.0,292.0,3.0,1.0,2.0,Culture.Biography.Biography*,0.8596737384796143,,,,,,,,,,,0,-1,-1,,0.8354935646057129,Geography.Regions.Europe.Europe*
5,5,173,Asien,20220601,0.0,0.0,0.0,2.0,13.0,1.0,1.0,0.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,4.0,-1.0,0,-1,-1,,0.9850529432296753,Geography.Regions.Asia.Asia*
6,6,239,Annette_von_Droste-Hülshoff,20220601,1.0,0.0,6.0,14.0,144.0,3.0,1.0,0.0,Geography.Regions.Europe.Western_Europe,0.984585464000702,20220601.0,209.0,259.0,0.806949806949807,44.0,87.0,390.0,1741.0,19857.0,86.0,0,-1,-1,,0.8596737384796143,Culture.Biography.Biography*
7,7,240,Aktualismus_(Geologie),20220601,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1,-1.0,,,,,,,,,,,0,-1,-1,,0.9859463572502136,STEM.STEM*
8,8,259,Aminosäuren,20220601,0.0,0.0,0.0,0.0,37.0,3.0,1.0,1.0,-1,-1.0,20220601.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1,-1,,0.9947898983955383,STEM.STEM*
9,9,277,Aldi,20220601,6.0,0.0,2.0,17.0,44.0,16.0,7.0,2.0,History_and_Society.Business_and_economics,0.8031837940216064,20220601.0,13716.0,12695.0,1.08042536431666,2597.0,5574.0,20570.0,83713.0,971867.0,5053.0,0,-1,-1,,0.7879412174224854,Geography.Regions.Europe.Western_Europe
10,10,301,Auge,20220601,0.0,0.0,0.0,5.0,10.0,1.0,1.0,0.0,Geography.Regions.Europe.Southern_Europe,0.9362950325012208,20220601.0,163.0,161.0,1.0124223602484472,29.0,66.0,255.0,1124.0,13692.0,68.0,0,-1,-1,,0.9985549449920654,STEM.STEM*
11,11,412,Asteroid,20220601,2.0,0.0,2.0,6.0,22.0,4.0,2.0,0.0,STEM.Space,0.9951046109199524,20220601.0,5227.0,5099.0,1.0251029613649736,979.0,2395.0,8574.0,36500.0,479575.0,2006.0,0,-1,-1,,0.998977780342102,STEM.Space
12,12,441,Almandin,20220601,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,STEM.Earth_and_environment,0.9937201142311096,20220601.0,2.0,3.0,0.6666666666666666,1.0,2.0,6.0,37.0,215.0,1.0,0,-1,-1,,0.9867871999740601,STEM.STEM*
