,Unnamed: 0,rev_page,page_title,date,same_day_revs,prev_day_revs,week_before_revs,month_before_revs,year_before_revs,week_after_revs,day_after_revs,day_after_2_revs,category,category_score,around,before,boost,same_day_views,prev_day_views,week_before_views,month_before_views,year_before_views,day_after_views,is_event,News Item,subcategory,-1,Culture,Geography,History_and_Society,STEM,category_score_upd,category_upd
0,0,69,Alfabet,20220601,0.0,0.0,0.0,0.0,11.0,1.0,1.0,0.0,Culture,0.989681839942932,17,16,1.0625,-1,4,21,66,2019,3,0,-1,Linguistics,0,1,0,0,0,0.9991540908813477,Culture.Linguistics
1,1,126,Albert_Einstein,20220601,0.0,0.0,0.0,4.0,154.0,5.0,1.0,0.0,STEM,0.8439050912857056,74582,69352,1.0754123889721998,15193,30202,114768,550384,6056336,30069,0,-1,STEM*,0,0,0,0,1,0.9697954058647156,STEM.STEM*
2,2,127,Alfabet_grecki,20220601,0.0,0.0,0.0,1.0,31.0,2.0,2.0,0.0,-1,-1.0,-1,-1,1.0,-1,-1,-1,-1,-1,-1,0,-1,-2,1,0,0,0,0,0.9967369437217712,Culture.Linguistics
3,3,308,As_myśliwski,20220601,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,-1,-1.0,-1,-1,1.0,-1,-1,-1,-1,-1,-1,0,-1,-2,1,0,0,0,0,0.8872146010398865,History_and_Society.Military_and_warfare
4,4,378,Alban_Berg,20220601,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,Culture,0.9990402460098268,1119,1225,0.913469387755102,233,486,1977,7692,89877,439,0,-1,Media,0,1,0,0,0,0.9994742274284363,Culture.Media.Music
5,5,384,Abraham,20220601,0.0,0.0,0.0,0.0,21.0,1.0,1.0,0.0,Culture,0.9591643214225768,16146,16473,0.980149335275906,3218,6726,26809,112174,1429273,6449,0,-1,Philosophy_and_religion,0,1,0,0,0,0.9879562258720398,Culture.Philosophy_and_religion
6,6,750,Chemia_fizyczna,20220601,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1,-1.0,-1,-1,1.0,-1,-1,-1,-1,-1,-1,0,-1,-2,1,0,0,0,0,0.9979592561721802,STEM.STEM*
7,7,1406,Eugenio_Montale,20220601,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Geography,0.6859594583511353,373,395,0.9443037974683544,84,162,650,2897,35228,148,0,-1,Regions,0,0,1,0,0,0.9763205647468567,Culture.Biography.Biography*
8,8,1434,Era_kalendarzowa,20220601,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1,-1.0,-1,-1,1.0,-1,-1,-1,-1,-1,-1,0,-1,-2,1,0,0,0,0,0.8903042674064636,STEM.STEM*
9,9,1569,Francuski_kalendarz_rewolucyjny,20220601,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,-1,-1.0,-1,-1,1.0,-1,-1,-1,-1,-1,-1,0,-1,-2,1,0,0,0,0,0.9263137578964233,STEM.STEM*
